"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"4","","12","Тесты: Educont Lesson","2237","0","Тесты: Educont все типы урока. Тренажер учителя","0"
"6","","0","Тесты: Educont Lesson","2247","0","Тесты: Educont все типы урока. Тренажер ученика без авторизации","0"
"0","","0","Тесты: EORS","256","0","","0"
"1","","0","Тесты: Educont Lesson","0","0","Тесты: Вход в аккаунт проверяющего","0"
"0","","0","Тесты: Educont Lesson","48","0","Тесты: Methodical Instructions","0"
"0","","2","Тесты: Educont Lesson разделы","0","0","","0"
"2","","2","Тесты: Educont Lesson","5","0","Курс. Тренажёр учителя","0"
"3","","1","Тесты: Educont Lesson","5","0","Задания. Тренажёр учителя","0"
"0","","0","Подготовка Educont","2","0","","0"
"0","","0","Тесты: Educont Lesson темы","2","0","","0"
