"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"10","","1","Тесты: Educont Lesson","2242","0","Тесты: Educont все типы урока. Тренажер ученика без авторизации","0"
"1","","0","Тесты: EORS","255","0","","0"
"0","","6","Тесты: Educont Lesson","2247","0","Тесты: Educont все типы урока. Тренажер учителя","0"
"0","","0","Тесты: Educont Lesson","48","0","Тесты: Methodical Instructions","0"
"0","","1","Тесты: Educont Lesson","7","0","Курс. Тренажёр учителя","0"
"0","","0","Тесты: Educont Lesson","11","0","Задания. Тренажёр учителя","0"
"0","","0","Тесты: Educont Lesson","1","0","Категория. Тренажёр учителя","0"
"0","","0","Подготовка Educont","2","0","","0"
"0","","0","Тесты: Educont Lesson темы","2","0","","0"
"0","","0","Тесты: Educont Lesson разделы","2","0","","0"
"1","","0","Тесты: Educont Lesson","0","0","Тесты: Вход в аккаунт проверяющего","0"
